,Configuration,Scale,trial,session_num,user,visits,perc_error,duration,Session,accuracy,age,gender,gaming_habits,route_planning,route_optimizations,GPS_usage,transitions_lenght,transitions_error
121,C3,S2,2,13,Amro,1-10-9-8-7-6-5-4-2-3-1,9.19621890103131,56.70699999999988,C3_S2,80.0,20,male,4.0,3.0,4.0,4.0,345.49770155373807,6.406410831971329
122,C3,S2,3,13,Amro,1-2-3-4-5-6-7-8-9-10-1,7.040926775923764,52.39200000000028,C3_S2,100.0,20,male,4.0,3.0,4.0,4.0,324.69632125767396,0.0
123,C3,S2,4,13,Amro,1-2-3-4-5-6-7-8-9-10-1,2.4098988516350115,48.24400000000014,C3_S2,100.0,20,male,4.0,3.0,4.0,4.0,324.69632125767396,0.0
124,C3,S2,5,13,Amro,1-2-3-4-5-6-7-8-9-10-1,6.870383044568262,53.07499999999982,C3_S2,100.0,20,male,4.0,3.0,4.0,4.0,324.69632125767396,0.0
125,C3,S2,6,13,Amro,1-2-3-4-5-6-7-8-9-10-1,0.1060396410336398,51.29300000000012,C3_S2,100.0,20,male,4.0,3.0,4.0,4.0,324.69632125767396,0.0
126,C3,S3,1,12,Amro,1-10-9-8-6-7-5-4-3-2-1,4.978204141718347,89.10800000000017,C3_S3,80.0,20,male,4.0,3.0,4.0,4.0,505.62927303692754,3.8152282875650148
127,C3,S3,2,12,Amro,1-10-9-8-7-6-5-4-3-2-1,0.0,73.0,C3_S3,100.0,20,male,4.0,3.0,4.0,4.0,487.04730642825336,0.0
128,C3,S3,3,12,Amro,1-2-3-4-5-6-7-8-9-10-1,1.1401243633293376,70.98299999999972,C3_S3,100.0,20,male,4.0,3.0,4.0,4.0,487.04730642825325,0.0
129,C3,S3,4,12,Amro,1-10-9-8-7-6-5-4-3-2-1,1.1615520936171166,71.75,C3_S3,100.0,20,male,4.0,3.0,4.0,4.0,487.04730642825336,2.3342052449757914e-14
130,C3,S3,5,12,Amro,1-2-3-4-5-6-8-7-9-10-1,10.845525038168796,82.29500000000007,C3_S3,80.0,20,male,4.0,3.0,4.0,4.0,530.0580197148323,8.830910820962512
131,C3,S3,6,12,Amro,1-2-3-4-5-6-7-8-9-10-1,0.6695392336792003,73.2829999999999,C3_S3,100.0,20,male,4.0,3.0,4.0,4.0,487.04730642825325,0.0
132,C4,S1,1,2,Amro,1-2-3-4-5-6-7-8-9-10-1,2.9813148016716813,134.98669999999998,C4_S1,100.0,20,male,4.0,3.0,4.0,4.0,163.18914552003673,0.0
133,C4,S1,2,2,Amro,1-10-9-8-7-6-5-4-3-2-1,1.801698937482885,96.58800000000002,C4_S1,100.0,20,male,4.0,3.0,4.0,4.0,163.18914552003673,0.0
134,C4,S1,3,2,Amro,1-2-3-4-5-6-7-8-9-10-1,2.225849436304105,90.29089999999997,C4_S1,100.0,20,male,4.0,3.0,4.0,4.0,163.18914552003673,0.0
135,C4,S1,4,2,Amro,1-10-9-8-7-6-5-4-3-2-1,0.3573296034731172,91.19049999999991,C4_S1,100.0,20,male,4.0,3.0,4.0,4.0,163.18914552003673,0.0
136,C4,S1,5,2,Amro,1-2-3-4-5-6-7-8-9-10-1,0.0,96.13830000000009,C4_S1,100.0,20,male,4.0,3.0,4.0,4.0,163.18914552003673,0.0
137,C4,S1,6,2,Amro,1-10-9-8-7-6-5-4-3-2-1,0.4281078528175668,95.38850000000002,C4_S1,100.0,20,male,4.0,3.0,4.0,4.0,163.18914552003673,0.0
138,C4,S2,1,4,Amro,1-2-3-4-5-6-7-8-9-10-1,0.0,135.087,C4_S2,100.0,20,male,4.0,3.0,4.0,4.0,326.40793991257743,0.0
139,C4,S2,2,4,Amro,1-10-9-8-7-6-5-4-3-2-1,1.235328631140282,91.05799999999977,C4_S2,100.0,20,male,4.0,3.0,4.0,4.0,326.4079399125775,1.741483950299509e-14
140,C4,S2,3,4,Amro,1-2-3-4-5-6-7-8-9-10-1,0.1435481080484634,115.6289999999999,C4_S2,100.0,20,male,4.0,3.0,4.0,4.0,326.40793991257743,0.0
